Id,Subject,MainText,SubjectSpam,MainTextSpam,SpamStatus
99_5022_4,rating,Adhi Gooood,2,2,2
99_5023_4,rating,i rated 4 New here i dnt knw yet how ,2,2,2
99_5024_4,rating,So far pretty good,2,2,2
99_5025_4,rating,Are you listening ,2,2,2
99_5026_4,rating,Cool,2,2,2
99_5028_4,rating,Powerful camera app Mild learning curve but absolutely awesome ,2,2,2
99_5032_4,rating,Excellent Its Excellent I Have No Complaints ,2,2,2
99_5033_4,rating,Mantap,2,2,2
99_5034_4,rating,Nice V gud,2,2,2
99_5035_4,rating,greatest apps ever i love it great great app,2,2,2
99_5036_4,rating,10 out of 10 Great game Value for money ,2,2,2
99_5037_4,rating,Eureka Awesome,2,2,2
99_5038_4,rating,Good I like it too much,2,2,2
99_5039_4,rating,Great Awesome app ,2,2,2
99_5040_4,rating,Samsung galaxy tab Whoa this game is awesome I completed the adventure mode but I still play it as they add a twist the second time you play it I dont know what all this paying for the zen garden is about as it is freeand you unlock plants by playing more Im 12 this is a great game and the minigames are grear just a bit expensive for the miningames ,2,2,2
99_5041_4,rating,Best game I've played on Android,2,2,2
99_5042_4,rating,cull lik app,2,2,2
99_5043_4,rating,Best app Best working app ever used ,2,2,2
99_5044_4,rating,Awesome Love it,2,2,2
99_5045_4,rating,Excellent app Does everything I would expect in a mail app,2,2,2
99_5046_4,rating,Amazing appss do it all nice one,2,2,2
99_5047_4,rating,Hi Nice ,2,2,2
99_5048_4,rating,Amazing Working perfect Samsung Galaxy S4 ,2,2,2
99_5049_4,rating,Epic,2,2,2
99_5050_4,rating,Yeh Nice app 4 me ,2,2,2
99_5051_4,rating,Awesome photo editor I love this app ,2,2,2
99_5052_4,rating,Good I happy this app,2,2,2
99_5053_4,rating,Best Printing App Ever ,2,2,2
99_5054_4,rating,I Miss them ,2,2,2
99_5055_4,rating,Love this appp,2,2,2
99_5056_4,rating,good good,2,2,2
99_5059_4,rating,Great app Best editing app ever,2,2,2
99_5060_4,rating,Great game Nice graphics and runs smooth on HTC One,2,2,2
